'a'bo'cun 阿波村
'chang'dao'ding 长岛町
'chang'gang'jing'shi 长冈京市
'chang'gang'shi 长冈市
'chang'gu'cun 长谷村
'chang'hua'shi 常滑市
'chang'jing'shi 长井市
'chang'jiu'shou'ding 长久手町
'chang'lu'tai'tian'shi 常陆太田市
'chang'lv'ding 常吕町
'chang'men'ding 长门町
'chang'men'shi 长门市
'chang'pan'cun 常盘村
'chang'qi'shi 长崎市
'chang'qi'xian 长崎县
'chang'quan'ding 长泉町
'chang'sheng'jun 长生郡
'chang'wan'bu'ding 长万部町
'chang'yang'cun 长阳村
'chang'ye'ding 常叶町
'chang'ye'shi 长野市
'chang'ye'xian 长野县
'chang'yu'ding 长与町
'chang'zhao'ding 长沼町
'chang'zhou'ding 长洲町
'chao'cang'cun 朝仓村
'chao'cang'ding 朝仓町
'chao'di'ding 朝地町
'chao'lai'ding 朝来町
'chao'lai'shi 潮来市
'chao'nan'ding 巣南町
'che'li'cun 车力村
'chen'kou'ding 辰口町
'chen'ye'ding 辰野町
'cheng'chuan'ding 城川町
'cheng'dao'ding 城岛町
'cheng'dao'ding 城辺町
'cheng'duan'ding 城端町
'cheng'nan'ding 城南町
'cheng'qi'ding 城崎町
'cheng'tian'shi 成田市
'cheng'yang'shi 城阳市
'cheng'yu'ding 成羽町
'chi'ban'ding 赤坂町
'chi'bo'cun 赤泊村
'chi'chi'ding 赤池町
'chi'chuan'ding 池川町
'chi'cun 赤村
'chi'gang'ding 赤冈町
'chi'jing'chuan'cun 赤井川村
'chi'lai'ding 赤来町
'chi'ping'shi 赤平市
'chi'qi'ding 赤碕町
'chi'sui'shi 赤穂市
'chi'tian'ding 池田町
'chi'tian'shi 池田市
'chi'yu'gen'ding 赤羽根町
'chong'mei'ding 冲美町
'chong'sheng'shi 冲縄市
'chong'sheng'xian 冲縄县
'chu'shan'bie'cun 初山别村
'chu'shi'ding 出石町
'chu'shui'shi 出水市
'chu'yun'qi'ding 出云崎町
'chu'yun'shi 出云市
'chu'zhu'shi 杵筑市
'chuan'bei'ding 川北町
'chuan'ben'ding 串本町
'chuan'ben'ding 川本町
'chuan'dao'ding 川岛町
'chuan'dao'ding 川辺町
'chuan'fu'ding 川副町
'chuan'gang'ding 船冈町
'chuan'gen'ding 川根町
'chuan'jian'shi 串间市
'chuan'jing'cun 川井村
'chuan'kao'ding 川尻町
'chuan'kou'ding 川口町
'chuan'kou'shi 川口市
'chuan'liang'ding 串良町
'chuan'lu'ding 钏路町
'chuan'lu'shi 钏路市
'chuan'mu'ye'shi 串木野市
'chuan'nan'ding 川南町
'chuan'nei'cun 川内村
'chuan'nei'ding 川内町
'chuan'nei'shi 川内市
'chuan'peng'ding 川棚町
'chuan'qi'cun 川崎村
'chuan'qi'ding 川崎町
'chuan'qi'shi 川崎市
'chuan'qiao'shi 船桥市
'chuan'shang'cun 川上村
'chuan'shang'ding 川上町
'chuan'sui'ding 船穂町
'chuan'xi'ding 川西町
'chuan'xi'shi 川西市
'chuan'yin'ding 船引町
'chuan'yu'ding 川俣町
'chuan'yuan'cun 串原村
'chuan'yue'ding 川越町
'chuan'yue'shi 川越市
'chuan'zhi'jiang'shi 川之江市
'chui'jing'ding 垂井町
'chui'shang'ding 吹上町
'chui'shui'shi 垂水市
'chui'tian'shi 吹田市
'chun'jiang'ding 春江町
'chun'ri'bu'shi 春日部市
'chun'ri'cun 春日村
'chun'ri'ding 春日町
'chun'ri'jing'shi 春日井市
'chun'ri'ju'ding 春日居町
'chun'ri'shi 春日市
'chun'ye'ding 春野町
'ci'cheng'xian 茨城县
'ci'mu'shi 茨木市
'cun'gang'ding 村冈町
'cun'shan'shi 村山市
'cun'shang'shi 村上市
'cun'song'ding 村松町
'cun'tian'ding 村田町
'da'an'ding 大安町
'da'ban'fu 大坂府
'da'ban'shi 大坂市
'da'ban'xia'shan'shi 大坂狭山市
'da'cang'cun 大蔵村
'da'chao'ding 大朝町
'da'cheng'ding 大成町
'da'chuan'cun 大川村
'da'chuan'du'shi 大船渡市
'da'chuan'shi 大川市
'da'chui'ding 大槌町
'da'cun'shi 大村市
'da'dao'cun 大岛村
'da'dao'ding 大岛町
'da'dao'xi'ding 大刀洗町
'da'dian'ding 大淀町
'da'ding'ding 大町町
'da'ding'shi 大町市
'da'dong'ding 大东町
'da'dong'shi 大东市
'da'e'ding 大鰐町
'da'fan'ding 大饭町
'da'fang'ding 大方町
'da'fen'shi 大分市
'da'fen'xian 大分县
'da'fu'shi 大府市
'da'gang'cun 大冈村
'da'gen'zhan'ding 大根占町
'da'gong'ding 大宫町
'da'guan'shi 大馆市
'da'he'cun 大和村
'da'he'ding 大和町
'da'he'gao'tian'shi 大和高田市
'da'he'jun'shan'shi 大和郡山市
'da'he'nei'ding 大河内町
'da'he'shi 大和市
'da'he'yuan'ding 大河原町
'da'heng'cun 大衡村
'da'jian'ding 大间町
'da'jiang'ding 大江町
'da'jin'ding 大津町
'da'jin'shi 大津市
'da'jing'chuan'ding 大井川町
'da'kou'ding 大口町
'da'kou'shi 大口市
'da'lai'hu'ding 大瀬戸町
'da'li'cun 大里村
'da'li'ding 大豊町
'da'li'jun 大里郡
'da'long'cun 大滝村
'da'lu'cun 大鹿村
'da'men'ding 大门町
'da'mou'tian'shi 大牟田市
'da'mu'ding 大木町
'da'nei'ding 大内町
'da'nei'shan'cun 大内山村
'da'ping'cun 大平村
'da'po'ding 大迫町
'da'pu'ding 大浦町
'da'qi'ding 大崎町
'da'qu'shi 大曲市
'da'quan'cun 大泉村
'da'ren'ding 大仁町
'da'ren'ding 大任町
'da'rong'ding 大栄町
'da'san'dao'ding 大三岛町
'da'sang'cun 大桑村
'da'sen'ding 大森町
'da'shan'ding 大山町
'da'shan'qi'ding 大山崎町
'da'shan'tian'cun 大山田村
'da'she'ding 大社町
'da'shi'ding 大柿町
'da'shi'tian'ding 大石田町
'da'shi'ye'ding 大矢野町
'da'shu'ding 大树町
'da'ta'cun 大塔村
'da'tai'ding 大台町
'da'tian'cun 大田村
'da'tian'ding 大畑町
'da'tian'ding 打田町
'da'tian'qu 大田区
'da'tian'shi 大田市
'da'tian'yuan'shi 大田原市
'da'wang'ding 大王町
'da'wu'ding 大屋町
'da'xi'cun 大潟村
'da'xi'ding 大潟町
'da'xi'ding 大西町
'da'xiang'ding 大郷町
'da'xin'cun 大信村
'da'xiong'cun 大雄村
'da'xiong'ding 大熊町
'da'xu'he'ding 大须贺町
'da'ye'cheng'shi 大野城市
'da'ye'cun 大野村
'da'ye'ding 大野町
'da'ye'jian'cun 大野见村
'da'ye'shi 大野市
'da'ye'yuan'ding 大野原町
'da'yi'wei'cun 大宜味村
'da'yu'cun 大玉村
'da'yu'ding 大隅町
'da'yu'tuo'ding 大宇陀町
'da'yuan'ding 大原町
'da'yuan'shi 大垣市
'da'yue'ding 大月町
'da'yue'ding 大越町
'da'yue'shi 大月市
'da'zai'ding 大畠町
'da'ze'ye'ding 大沢野町
'da'zheng'ding 大正町
'da'zhi'ding 大治町
'da'zhou'shi 大洲市
'da'zhu'shi 大竹市
'da'zuo'ding 大佐町
'dai'guang'shi 帯広市
'dai'jing'shi 袋井市
'dai'ming'ding 岱明町
'dan'bo'ding 丹波町
'dan'bo'shan'cun 丹波山村
'dan'dong'ding 但东町
'dan'hou'ding 丹后町
'dan'lu'ding 澹路町
'dan'sheng'chuan'cun 丹生川村
'dan'yuan'ding 丹原町
'dan'ze'ding 胆沢町
'dang'bie'ding 当别町
'dang'ma'ding 当麻町
'dao'ben'ding 岛本町
'dao'cheng'shi 稲城市
'dao'chuan'ding 稲川町
'dao'fu'jun 稲敷郡
'dao'gen'ding 岛根町
'dao'gen'xian 岛根县
'dao'mei'ding 稲美町
'dao'mu'cun 岛牧村
'dao'tian'shi 岛田市
'dao'wu'ding 稲武町
'dao'yuan'cun 岛原村
'dao'yuan'cun 稲垣村
'dao'yuan'shi 岛原市
'dao'ze'shi 稲沢市
'dao'zhi'cun 道志村
'dao'zhu'ding 稲筑町
'de'dao'shi 徳岛市
'de'dao'xian 徳岛县
'de'di'ding 徳地町
'de'shan'shi 徳山市
'de'zhi'dao'ding 徳之岛町
'deng'bie'shi 登别市
'deng'mi'ding'zhong'tian'ding 登米町中田町
'di'bu'ding 砥部町
'di'ding 荻町
'di'yong'ding 砥用町
'di'zi'qu'ding 弟子屈町
'dian'jiang'ding 淀江町
'diao'zi'shi 铫子市
'ding'tian'shi 町田市
'ding'wan'cun 碇関村
'dong'bai'chuan'cun 东白川村
'dong'bei'ding 东北町
'dong'bi'chu'ding 东彼杵町
'dong'bo'ding 东伯町
'dong'bu'ding 东部町
'dong'cheng'ding 东城町
'dong'cheng'lai'cun 东成瀬村
'dong'chu'yun'ding 东出云町
'dong'chuan'ding 东川町
'dong'chuan'liang'ding 东串良町
'dong'ci'cheng'jun 东茨城郡
'dong'cun 东村
'dong'cun'gui'zhi'qi'cun 东村桧枝岐村
'dong'cun'shan'shi 东村山市
'dong'da'ban'shi 东大坂市
'dong'da'he'shi 东大和市
'dong'ding 东町
'dong'feng'ping'ding 东风平町
'dong'ge'shi'jun 东葛饰郡
'dong'gen'shi 东根市
'dong'guang'dao'shi 东広岛市
'dong'hai'shi 东海市
'dong'he'ding 东和町
'dong'hu'cun 洞戸村
'dong'ji'ye'cun 东吉野村
'dong'ji'zhen'cun 东嵴振村
'dong'jin'shi 东金市
'dong'jin'ye'cun 东津野村
'dong'jing'du 东京都
'dong'jiu'liu'mi'shi 东久留米市
'dong'pu'ding 东浦町
'dong'rong'ding 东栄町
'dong'shan'ding 东山町
'dong'shen'yue'ding 东神楽町
'dong'shi'lai'ding 东市来町
'dong'song'shan'shi 东松山市
'dong'su'cang'cun 东粟仓村
'dong'tiao'ding 东条町
'dong'tong'cun 东通村
'dong'xiang'ding 东郷町
'dong'yang'cun 东阳村
'dong'yang'ding 东洋町
'dong'ye'cun 洞爷村
'dong'ye'ding 东野町
'dong'yi'dou'ding 东伊豆町
'dong'you'li'ding 东由利町
'dong'yu'he'ding 东与贺町
'dong'yu'shi 东予市
'dong'yuan'ding 东员町
'dong'zao'qin'cun 东藻琴村
'dong'zu'gu'shan'cun 东祖谷山村
'dou'cheng'shi 都城市
'dou'liu'shi 都留市
'dou'lu'cun 都路村
'dou'nong'ding 都农町
'dou'qi'cun 都祁村
'dou'wan'cun 都万村
'dou'zhu'qu 都筑区
'dou'zi'shi 逗子市
'du'gu'cun 読谷村
'du'hui'ding 度会町
'du'jia'fu'cun 渡嘉敷村
'du'ming'xi'cun 渡名喜村
'duan'fa'hua'cun 椴法华村
'duan'ye'ding 端野町
'dui'bing'jun 碓氷郡
'dui'jing'ding 碓井町
'dun'he'shi 敦贺市
'dun'yuan'ding 顿原町
'duo'du'ding 多度町
'duo'du'jin'ding 多度津町
'duo'he'cheng'shi 多贺城市
'duo'he'ding 多贺町
'duo'he'jun 多贺郡
'duo'ji'ding 多伎町
'duo'jiu'shi 多久市
'duo'liang'jian'cun 多良间村
'duo'liang'jian'ding 多良见町
'duo'liang'mu'ding 多良木町
'duo'mo'shi 多摩市
'duo'qi'ding 多気町
'duo'ye'jun 多野郡
'duo'zhi'jian'shi 多治见市
'e'liang'ding 姶良町
'e'tian'ding 额田町
'en'na'cun 恩纳村
'er'ben'song'shi 二本松市
'er'hu'shi 二戸市
'er'jian'ding 二见町
'er'jing'ding 二井町
'er'yu'jun 児玉郡
'er'zhang'ding 二丈町
'fan'dao'ding 饭岛町
'fan'dou'ding 幡豆町
'fan'gao'ding 饭高町
'fan'guan'cun 饭舘村
'fan'li'ding 饭豊町
'fan'nan'ding 饭南町
'fan'neng'shi 饭能市
'fan'shan'ding 饭山町
'fan'shan'shi 饭山市
'fan'sheng'ding 饭盛町
'fan'tian'chuan'ding 饭田川町
'fan'tian'shi 饭田市
'fan'ye'ding 饭野町
'fan'zhong'shi 饭塚市
'fang'cheng'ding 方城町
'fang'fu'shi 防府市
'fang'he'jun 芳贺郡
'fang'jin'ding 坊津町
'fang'jing'ding 芳井町
'fei'chuan'ding 斐川町
'fei'dao'cun 飞岛村
'fei'qian'ding 肥前町
'fen'he'ding 粉河町
'fen'shui'ding 分水町
'feng'bang'cun 峰浜村
'feng'ding 峰町
'feng'jian'pu'cun 风间浦村
'feng'lai'ding 凤来町
'feng'lian'ding 风连町
'feng'shan'ding 峰山町
'fu'bu'cun 福部村
'fu'cun 富村
'fu'dao'ding 敷岛町
'fu'dao'ding 福岛町
'fu'dao'shi 福岛市
'fu'dao'xian 福岛县
'fu'di'cun 福地村
'fu'fu'ding 福富町
'fu'gang'ding 富冈町
'fu'gang'ding 福冈町
'fu'gang'shi 富冈市
'fu'gang'shi 福冈市
'fu'gang'xian 福冈县
'fu'gu'ding 富谷町
'fu'guang'ding 福光町
'fu'he'ding 富合町
'fu'jia'ding 富加町
'fu'jian'ding 福间町
'fu'jiang'ding 富江町
'fu'jiang'shi 福江市
'fu'jin'shi 富津市
'fu'jing'shi 福井市
'fu'jing'xian 福井县
'fu'lai'ding 富来町
'fu'liang'ye'shi 富良野市
'fu'qi'ding 福崎町
'fu'rong'cun 福栄村
'fu'sang'ding 扶桑町
'fu'shan'cun 富山村
'fu'shan'ding 福山町
'fu'shan'shi 富山市
'fu'shan'shi 福山市
'fu'shan'xian 富山县
'fu'sheng'shi 福生市
'fu'shi'chuan'ding 富士川町
'fu'shi'ding 富士町
'fu'shi'gong'shi 富士宫市
'fu'shi'ji'tian'shi 富士吉田市
'fu'shi'jian'ding 富士见町
'fu'shi'jian'shi 富士见市
'fu'shi'shi 富士市
'fu'shi'shi 釜石市
'fu'tian'ding 福田町
'fu'tian'lin'shi 富田林市
'fu'ye'ding 福野町
'fu'yu'ding 浮羽町
'fu'ze'ding 富沢町
'fu'zhi'ding 付知町
'fu'zhi'shan'shi 福知山市
'fu'zhong'ding 妇中町
'fu'zhong'ding 府中町
'fu'zhong'shi 府中市
'gan'mu'shi 甘木市
'gan'yue'jun 甘楽郡
'gang'bei'qu 港北区
'gang'bu'ding 冈部町
'gang'gu'shi 冈谷市
'gang'nan'qu 港南区
'gang'qi'shi 冈崎市
'gang'qu 港区
'gang'shan'shi 冈山市
'gang'shan'xian 冈山县
'gang'yuan'cun 冈原村
'gang'yuan'ding 冈垣町
'gao'bang'ding 高浜町
'gao'bang'shi 高浜市
'gao'cheng'ding 高城町
'gao'dao'ding 高岛町
'gao'fu'ding 高富町
'gao'gang'ding 高冈町
'gao'gang'shi 高冈市
'gao'gen'cun 高根村
'gao'gen'ding 高根町
'gao'gong'ding 高宫町
'gao'gui'shi 高槻市
'gao'guo'ding 高锅町
'gao'jiu'cun 高鹫村
'gao'lai'ding 高来町
'gao'lai'ding 高瀬町
'gao'liang'shi 高梁市
'gao'liu'ding 高柳町
'gao'qi'ding 高崎町
'gao'qi'shi 高崎市
'gao'qian'sui'ding 高千穂町
'gao'qing'shui'ding 高清水町
'gao'qiu'shi 高萩市
'gao'qu'ding 高取町
'gao'sen'ding 高森町
'gao'sha'shi 高砂市
'gao'shan'cun 高山村
'gao'shan'ding 高山町
'gao'shan'shi 高山市
'gao'shi'shi 高石市
'gao'song'ding 高松町
'gao'song'shi 高松市
'gao'tian'ding 高田町
'gao'wei'ye'ding 高尾野町
'gao'xiang'cun 高郷村
'gao'ye'ding 高野町
'gao'ye'kou'ding 高野口町
'gao'yuan'ding 高原町
'gao'yuan'ding 高远町
'gao'yue'ding 高月町
'gao'zai'ding 高畠町
'gao'zhi'shi 高知市
'gao'zhi'xian 高知县
'gao'zuo'jun 高座郡
'ge'deng'ding 歌登町
'ge'jin'ding 歌津町
'ge'juan'ding 葛巻町
'ge'shi'qu 葛饰区
'ge'wei'cun 葛尾村
'ge'wu'yuan'shi 各务原市
'ge'zhi'nei'shi 歌志内市
'gen'li'ding 亘理町
'gen'shang'ding 根上町
'gen'shi'shi 根室市
'gen'wei'cun 根尾村
'gen'yu'cun 根羽村
'gen'zhan'ding 根占町
'geng'bie'cun 更别村
'geng'zhi'shi 更埴市
'gong'cheng'xian 宫城县
'gong'chuan'cun 宫川村
'gong'chuan'ding 肱川町
'gong'cun 宫村
'gong'dao'ding 宫岛町
'gong'gu'shi 宫古市
'gong'he'ding 共和町
'gong'jin'shi 宫津市
'gong'qi'cun 宫崎村
'gong'qi'ding 宫崎町
'gong'qi'shi 宫崎市
'gong'qi'xian 宫崎县
'gong'shou'cun 宫守村
'gong'tian'cun 宫田村
'gong'tian'ding 宫田町
'gong'wa'ding 宫洼町
'gong'xue'ding 弓削町
'gong'yuan'ding 宫原町
'gong'zhi'cheng'ding 宫之城町
'gou'dao'ding 沟辺町
'gou'kou'ding 沟口町
'gu'chuan'ding 古川町
'gu'chuan'shi 古川市
'gu'dian'ding 古殿町
'gu'he'shi 古河市
'gu'he'shi 古贺市
'gu'ji'cun 谷汲村
'gu'ping'ding 古平町
'gu'ye'ding 菰野町
'gu'zuo'chuan'ding 古座川町
'gu'zuo'ding 古座町
'gua'chuan'shi 挂川市
'gua'he'ding 挂合町
'guan'lin'shi 馆林市
'guan'shan'shi 馆山市
'guan'yan'cun 舘岩村
'guan'yin'si'shi 観音寺市
'guang'chuan'ding 広川町
'guang'dao'shi 広岛市
'guang'dao'xian 広岛县
'guang'jian'ding 広见町
'guang'lai'ding 広瀬町
'guang'ling'ding 広陵町
'guang'shen'cun 広神村
'guang'shi 光市
'guang'tian'cun 広田村
'guang'wei'ding 広尾町
'guang'ye'ding 広野町
'gui'chuan'cun 鲑川村
'gui'chuan'ding 桂川町
'gui'gang'shi 亀冈市
'gui'shan'shi 亀山市
'gui'tian'ding 亀田町
'gui'wu'li'cun 鬼无里村
'gui'yuan'cun 桧原村
'gui'zhi'chuan'ding 贵志川町
'guo'dong'ding 国东町
'guo'fen'shi 国分市
'guo'fen'si'ding 国分寺町
'guo'fen'si'shi 国分寺市
'guo'fu'ding 国富町
'guo'fu'ding 国府町
'guo'jian'ding 国见町
'guo'li'shi 国立市
'guo'tou'cun 国头村
'hai'bu'ding 海部町
'hai'jin'ding 海津町
'hai'lao'ming'shi 海老名市
'hai'nan'ding 海南町
'hai'nan'shi 海南市
'hai'shan'ding 海山町
'hai'shang'jun 海上郡
'hai'shi'ding 海士町
'hai'tian'ding 海田町
'han'guan'shi 函馆市
'han'he'jiang'shi 寒河江市
'han'nan'ding 函南町
'he'bei'ding 河北町
'he'bo'ding 和泊町
'he'chuan'ding 合川町
'he'dao'cun 和岛村
'he'dao'cun 河辺村
'he'dao'ding 河辺町
'he'dao'shi 鹤岛市
'he'dong'ding 河东町
'he'gang'shi 鹤冈市
'he'ge'shan'shi 和歌山市
'he'ge'shan'xian 和歌山县
'he'guang'shi 和光市
'he'han'ding 和寒町
'he'he'cun 河合村
'he'he'ding 河合町
'he'jian'ding 鹤见町
'he'jian'qu 鹤见区
'he'jin'ding 河津町
'he'ju'cun 鹤居村
'he'kou'hu'ding 河口湖町
'he'lai'ding 鹤来町
'he'liang'cun 和良村
'he'mao'cun 贺茂村
'he'mu'ding 和木町
'he'nan'ding 河南町
'he'nei'chang'ye'shi 河内长野市
'he'nei'cun 河内村
'he'nei'ding 河内町
'he'nei'jun 河内郡
'he'pu'ding 河浦町
'he'qi'ding 和気町
'he'quan'cun 和泉村
'he'quan'shi 和泉市
'he'tian'cun 和田村
'he'tian'ding 鹤田町
'he'tian'shan'ding 和田山町
'he'yang'ding 贺阳町
'he'ye'cun 河野村
'he'yuan'ding 河原町
'he'yun'ding 河芸町
'he'zhi'ding 合志町
'he'zhi'ding 和知町
'hei'bu'shi 黒部市
'hei'chuan'cun 黒川村
'hei'ji'shi 黒矶市
'hei'lai'ding 黒瀬町
'hei'long'cun 黒滝村
'hei'mu'ding 黒木町
'hei'shi'shi 黒石市
'hei'song'nei'ding 黒松内町
'hei'tian'zhuang'ding 黒田庄町
'heng'bang'ding 横浜町
'heng'bang'shi 横浜市
'heng'chuan'ding 横川町
'heng'dao'ding 横岛町
'heng'shou'shi 横手市
'heng'tian'ding 横田町
'heng'xu'he'shi 横须贺市
'heng'yue'ding 横越町
'hong'chao'shi 鸿巣市
'hong'qian'shi 弘前市
'hou'an'ding 厚岸町
